N52	t3	{ttrian,hconto}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic}#{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}|{blagur}	0	86.9181	534.041
N59	t1	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}|{ttrian,hconto,blagur}#{ppanic}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol}	1	317.141	543.984
N59	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol}|{ttrian,hconto,blagur}#{ppanic}|{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}	0	92.3795	543.984
N59	t3	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol}#{ppanic}|{ttrian,hconto,blagur}	0	134.463	543.984
N60	t1	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur}|{ppanic}#{sbicol}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos}	0.977751	232.44	586.175
N60	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos}|{ppanic}#{sbicol}|{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur}	0.0218081	214.519	586.175
N60	t3	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos}#{sbicol}|{ppanic}	0.000441015	139.216	586.175
N61	t1	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic}|{sbicol}#{irugos}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan}	0.999833	245.581	597.077
N61	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan}|{sbicol}#{irugos}|{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic}	0.0001297	193.776	597.077
N61	t3	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan}#{irugos}|{sbicol}	3.72796e-05	157.72	597.077
N62	t1	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol}|{irugos}#{snutan}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui}	0.480638	182.228	530.557
N62	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui}|{irugos}#{snutan}|{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol}	0.223298	172.031	530.557
N62	t3	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui}#{snutan}|{irugos}	0.296064	176.298	530.557
N63	t1	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos}|{snutan}#{atenui}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega}	0.999981	229.374	536.186
N63	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega}|{snutan}#{atenui}|{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos}	1.63413e-05	179.452	536.186
N63	t3	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega}#{atenui}|{snutan}	2.49764e-06	127.361	536.186
N64	t1	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos,snutan}|{atenui}#{cserru,telega}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01}	1	360.507	587.739
N64	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01}|{atenui}#{cserru,telega}|{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos,snutan}	0	132.995	587.739
N64	t3	{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos,snutan}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01}#{cserru,telega}|{atenui}	0	94.2376	587.739
N50	t1	{cserru}|{telega}#{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra,ttrian,hconto,blagur,ppanic,sbicol,irugos,snutan,atenui}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01}	1	339.819	574.022
